"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"BB_N_PathOfTravelShape","44.585483894","-123.275993484",324,
"BB_N_PathOfTravelShape","44.585650275","-123.276001005",325,
"BB_N_PathOfTravelShape","44.585766845","-123.276004209",326,
"BB_N_PathOfTravelShape","44.585924257","-123.276006681",327,
"BB_N_PathOfTravelShape","44.586192524","-123.276011238",328,
"BB_N_PathOfTravelShape","44.586253264","-123.276014159",329,
"BB_N_PathOfTravelShape","44.586309867","-123.276017842",330,
"BB_N_PathOfTravelShape","44.586343914","-123.276018038",331,
"BB_N_PathOfTravelShape","44.586396475","-123.276018645",332,
"BB_N_PathOfTravelShape","44.586465265","-123.276018593",333,
"BB_N_PathOfTravelShape","44.586628421","-123.276017797",334,
"BB_N_PathOfTravelShape","44.586806828","-123.276021096",335,
"BB_N_PathOfTravelShape","44.587017066","-123.276024006",336,
"BB_N_PathOfTravelShape","44.587243994","-123.276024836",337,
"BB_N_PathOfTravelShape","44.587430257","-123.276026113",338,
"BB_N_PathOfTravelShape","44.587638498","-123.276026525",339,
"BB_N_PathOfTravelShape","44.587753733","-123.276028226",340,
"BB_N_PathOfTravelShape","44.587842429","-123.276024329",341,
"BB_N_PathOfTravelShape","44.587958087","-123.276022691",342,
"BB_N_PathOfTravelShape","44.588125068","-123.276016318",343,
"BB_N_PathOfTravelShape","44.588300864","-123.276014211",344,
"BB_N_PathOfTravelShape","44.588387473","-123.276015014",345,
"BB_N_PathOfTravelShape","44.588438836","-123.276015563",346,
"BB_N_PathOfTravelShape","44.588558917","-123.276018939",347,
"BB_N_PathOfTravelShape","44.588750235","-123.276020458",348,
"BB_N_PathOfTravelShape","44.588950461","-123.276022405",349,
"BB_N_PathOfTravelShape","44.589215552","-123.276026992",350,
"BB_N_PathOfTravelShape","44.589484041","-123.276029342",351,
"BB_N_PathOfTravelShape","44.589672008","-123.276034542",352,
"BB_N_PathOfTravelShape","44.589847589","-123.276037703",353,
"BB_N_PathOfTravelShape","44.589953252","-123.276037984",354,
"BB_N_PathOfTravelShape","44.590010966","-123.276038360",355,
"BB_N_PathOfTravelShape","44.590092517","-123.276035560",356,
"BB_N_PathOfTravelShape","44.590290342","-123.276033210",357,
"BB_N_PathOfTravelShape","44.590367292","-123.276033411",358,
"BB_N_PathOfTravelShape","44.590505993","-123.276029519",359,
"BB_N_PathOfTravelShape","44.590652100","-123.276027903",360,
"BB_N_PathOfTravelShape","44.590798223","-123.276029170",361,
"BB_N_PathOfTravelShape","44.590887771","-123.276032516",362,
"BB_N_PathOfTravelShape","44.591000636","-123.276039864",363,
"BB_N_PathOfTravelShape","44.591113431","-123.276050091",364,
"BB_N_PathOfTravelShape","44.591135973","-123.276050693",365,
"BB_N_PathOfTravelShape","44.591199088","-123.276054690",366,
"BB_N_PathOfTravelShape","44.591262132","-123.276061563",367,
"BB_N_PathOfTravelShape","44.591288876","-123.276065731",368,
"BB_N_PathOfTravelShape","44.591324935","-123.276071306",369,
"BB_N_PathOfTravelShape","44.591387410","-123.276083912",370,
"BB_N_PathOfTravelShape","44.591450247","-123.276092215",371,
"BB_N_PathOfTravelShape","44.591553281","-123.276108694",372,
"BB_N_PathOfTravelShape","44.591683935","-123.276135623",373,
"BB_N_PathOfTravelShape","44.591827972","-123.276169438",374,
"BB_N_PathOfTravelShape","44.591958107","-123.276206907",375,
"BB_N_PathOfTravelShape","44.592090215","-123.276244469",376,
"BB_N_PathOfTravelShape","44.592147521","-123.276260968",377,
"BB_N_PathOfTravelShape","44.592201955","-123.276275361",378,
"BB_N_PathOfTravelShape","44.592243862","-123.276284981",379,
"BB_N_PathOfTravelShape","44.592299041","-123.276298756",380,
"BB_N_PathOfTravelShape","44.592298444","-123.276346670",381,
"BB_N_PathOfTravelShape","44.592299978","-123.276441331",382,
"BB_N_PathOfTravelShape","44.592303678","-123.276535135",383,
"BB_N_PathOfTravelShape","44.592309123","-123.276624222",384,
"BB_N_PathOfTravelShape","44.592317690","-123.276739865",385,
"BB_N_PathOfTravelShape","44.592328484","-123.276855617",386,
"BB_N_PathOfTravelShape","44.592341345","-123.276970987",387,
"BB_N_PathOfTravelShape","44.592356372","-123.277085501",388,
"BB_N_PathOfTravelShape","44.592371433","-123.277184655",389,
"BB_N_PathOfTravelShape","44.592380480","-123.277238866",390,
"BB_N_PathOfTravelShape","44.592398125","-123.277341022",391,
"BB_N_PathOfTravelShape","44.592417753","-123.277442795",392,
"BB_N_PathOfTravelShape","44.592439546","-123.277543711",393,
"BB_N_PathOfTravelShape","44.592463419","-123.277643768",394,
"BB_N_PathOfTravelShape","44.592489286","-123.277742962",395,
"BB_N_PathOfTravelShape","44.592495916","-123.277766326",396,
"BB_N_PathOfTravelShape","44.592514935","-123.277833499",397,
"BB_N_PathOfTravelShape","44.592548308","-123.277948418",398,
"BB_N_PathOfTravelShape","44.592583671","-123.278062473",399,
"BB_N_PathOfTravelShape","44.592621042","-123.278175183",400,
"BB_N_PathOfTravelShape","44.592660332","-123.278286545",401,
"BB_N_PathOfTravelShape","44.592701544","-123.278396560",402,
"BB_N_PathOfTravelShape","44.592741105","-123.278496893",403,
"BB_N_PathOfTravelShape","44.592847870","-123.278773310",404,
"BB_N_PathOfTravelShape","44.592924272","-123.278983449",405,
"BB_N_PathOfTravelShape","44.592950982","-123.279069238",406,
"BB_N_PathOfTravelShape","44.592975783","-123.279155897",407,
"BB_N_PathOfTravelShape","44.592998492","-123.279243896",408,
"BB_N_PathOfTravelShape","44.593019123","-123.279332756",409,
"BB_N_PathOfTravelShape","44.593037758","-123.279422480",410,
"BB_N_PathOfTravelShape","44.593054228","-123.279513059",411,
"BB_N_PathOfTravelShape","44.593068620","-123.279604497",412,
"BB_N_PathOfTravelShape","44.593072857","-123.279634471",413,
"BB_N_PathOfTravelShape","44.593083502","-123.279724770",414,
"BB_N_PathOfTravelShape","44.593091908","-123.279815441",415,
"BB_N_PathOfTravelShape","44.593098246","-123.279906494",416,
"BB_N_PathOfTravelShape","44.593102429","-123.279997921",417,
"BB_N_PathOfTravelShape","44.593104375","-123.280089721",418,
"BB_N_PathOfTravelShape","44.593104516","-123.280136303",419,
"BB_N_PathOfTravelShape","44.593103951","-123.280267354",420,
"BB_N_PathOfTravelShape","44.593103143","-123.280425761",421,
"BB_N_PathOfTravelShape","44.593102459","-123.280788235",422,
"BB_N_PathOfTravelShape","44.593101220","-123.281173248",423,
"BB_N_PathOfTravelShape","44.593101944","-123.281537712",424,
"BB_N_PathOfTravelShape","44.593098829","-123.281988413",425,
